RCDTS,School ID,Network,School Name,2020 CA,2021 CA,2022 CA,2023 CA,2024 CA,,,,,,,
150162990250832,610402,Network 14,Devry Advantage Academy High Schl,5.6%,18.4%,37.0%,43.7%,30.1%,,,,,,,
150162990252107,609827,Network 12,Burnside Elem Scholastic Academy,5.6%,20.3%,23.1%,23.7%,27.3%,,,,,,,
150162990252618,609927,Network 11,Foster Park Elem School,5.6%,28.3%,32.3%,27.5%,45.5%,,,,,,,
150162990252773,610128,Network 13,Garvey  M Elem School,5.6%,39.4%,43.1%,35.0%,30.8%,,,,,,,
150162990252622,609944,Network 13,Grissom Elem School,5.7%,9.3%,38.4%,29.9%,29.6%,,,,,,,
150162990250794,609749,Network 14,Northside College Preparatory Hs,5.7%,12.8%,26.5%,24.6%,30.9%,,,,,,,
150162990252873,610319,Network 8,Evergreen Academy Elem School,5.7%,13.0%,27.4%,26.9%,25.7%,,,,,,,
150162990252330,610053,Network 10,Marquette Elem School,5.7%,18.2%,39.9%,25.8%,22.2%,,,,,,,
150162990252965,610542,ISP,West Ridge Elem School,5.7%,20.1%,36.0%,35.2%,40.6%,,,,,,,
150162990252051,609772,Network 13,Addams Elem School,5.7%,21.9%,41.2%,36.6%,31.4%,,,,,,,
15016299025259C,400083,Charter,Acero Chtr Sch Network - Octavio Paz Elem School,5.7%,35.6%,36.5%,22.9%,23.4%,,,,,,,
150162990252232,609956,Network 10,Grimes Elem School,5.8%,10.9%,37.6%,33.5%,32.4%,,,,,,,
150162990252227,609850,Network 4,Greeley Elem School,5.8%,12.8%,28.4%,27.7%,48.0%,,,,,,,
150162990252862,610021,Network 5,Casals Elem School,5.8%,18.4%,36.8%,25.0%,24.3%,,,,,,,
150162990252374,610097,Network 4,Nixon Elem School,5.8%,24.2%,45.8%,40.8%,41.4%,,,,,,,
150162990252964,610541,Network 4,Garcia Lorca Elem School,5.8%,25.9%,35.8%,32.2%,29.0%,,,,,,,
150162990252488,610203,Network 8,Monarcas Academy,5.8%,30.9%,39.0%,37.2%,31.1%,,,,,,,
150162990252316,610040,Network 3,Lloyd Elem School,5.9%,15.7%,43.5%,36.7%,40.7%,,,,,,,
150162990252120,609837,Network 9,Carnegie Elem School,5.9%,20.9%,48.4%,34.4%,28.4%,,,,,,,
150162990252828,610342,Network 6,Sabin Elem Magnet School,5.9%,29.1%,51.7%,50.8%,60.4%,,,,,,,
15016299025241C,400168,Charter,Great Lakes Academy Charter ES,5.9%,34.1%,29.5%,23.2%,22.6%,,,,,,,
150162990252097,609812,Network 6,Brown  W Elem School,5.9%,38.2%,44.4%,33.7%,43.7%,,,,,,,
150162990252605,610367,Network 3,Depriest Elem School,5.9%,59.3%,60.5%,52.4%,53.1%,,,,,,,
150162990252371,610095,Network 4,Newberry Elem Math & Science Acad,6.0%,15.4%,43.4%,40.2%,43.5%,,,,,,,
150162990252703,610291,ISP,Lee Elem School,6.0%,17.0%,36.7%,31.6%,34.3%,,,,,,,
150162990252202,609917,Network 13,Fernwood Elem School,6.0%,22.7%,50.2%,26.8%,26.3%,,,,,,,
150162990252934,610353,Network 8,Calmeca Acad Elem School,6.0%,24.2%,35.6%,34.9%,29.8%,,,,,,,
150162990252292,610015,ISP,Jungman Elem School,6.0%,26.7%,54.4%,39.1%,40.5%,,,,,,,
150162990252138,609863,ISP,Ruth Bader Ginsburg Elementary,6.1%,4.9%,29.8%,20.7%,23.1%,,,,,,,
150162990252412,610137,Network 1,Prussing Elem School,6.1%,10.0%,30.8%,38.5%,38.9%,,,,,,,
150162990252968,610559,ISP,Shields Middle School,6.1%,19.4%,41.4%,38.1%,40.5%,,,,,,,
150162990252469,610184,Network 16,Spry Elem Community School,6.1%,20.6%,31.6%,34.3%,43.8%,,,,,,,
150162990252319,610043,Network 3,Lovett Elem School,6.1%,23.2%,33.7%,20.6%,25.9%,,,,,,,
150162990252634,610282,Network 3,McNair Elem School,6.1%,35.2%,44.9%,35.1%,31.3%,,,,,,,
150162990252785,610281,Network 12,Powell Elem Paideia Comm Academy,6.1%,38.0%,44.1%,39.9%,41.4%,,,,,,,
150162990252398,610120,ISP,Peck Elem School,6.2%,15.8%,38.9%,30.3%,30.9%,,,,,,,
15016299025109C,400165,Charter,LEARN Chtr - Middle School,6.2%,16.6%,40.4%,64.1%,35.1%,,,,,,,
150162990252726,610068,Network 3,Hanson Park Elem School,6.2%,17.8%,32.7%,35.5%,39.9%,,,,,,,
150162990252239,609960,Network 10,Hale Elem School,6.2%,17.9%,40.8%,32.7%,36.3%,,,,,,,
150162990252135,609861,Network 10,Clissold Elem School,6.2%,18.9%,32.2%,26.7%,28.6%,,,,,,,
150162990252417,610142,Network 9,Ray Elem School,6.2%,19.1%,31.5%,30.1%,41.5%,,,,,,,
150162990252211,609930,Network 4,Funston Elem School,6.2%,26.0%,42.7%,38.6%,35.4%,,,,,,,
15016299025229C,400009,Charter,Academy for Global Citizenship,6.2%,26.3%,39.7%,27.8%,25.0%,,,,,,,
150162990252804,609902,Network 13,Metcalfe Elem Community Academy,6.2%,42.7%,63.1%,42.6%,27.4%,,,,,,,
150162990252700,609795,ISP,Clark  G R Elem School,6.3%,14.4%,26.7%,24.3%,22.6%,,,,,,,
150162990252396,610117,Network 8,Pasteur Elem School,6.3%,18.4%,40.6%,41.9%,37.4%,,,,,,,
150162990252229,609952,Network 8,Greene N Elem School,6.3%,20.1%,30.6%,30.7%,35.0%,,,,,,,
15016299025103C,400163,Charter,KIPP Chicago Charters - Bloom Campus,6.3%,26.7%,41.2%,38.7%,39.2%,,,,,,,
150162990252429,610153,Network 11,Ryder Elem Math & Sci Spec School,6.4%,9.2%,41.1%,39.6%,47.7%,,,,,,,
150162990252403,610127,Network 1,Peterson Elem School,6.4%,13.3%,28.2%,28.0%,28.9%,,,,,,,
150162990252134,609859,ISP,Clinton Elem School,6.4%,14.5%,39.6%,33.3%,31.0%,,,,,,,
150162990252167,609893,Network 10,Dore Elem School,6.4%,16.2%,31.6%,32.3%,30.8%,,,,,,,
150162990252513,610227,Network 7,Whitney Elem School,6.4%,24.9%,37.1%,33.8%,41.6%,,,,,,,
150162990252435,610157,Network 8,Sawyer Elem School,6.4%,26.2%,37.1%,36.4%,33.8%,,,,,,,
150162990252912,609780,Network 14,Marine Leadership Academy - Ames,6.4%,36.4%,53.2%,53.0%,62.3%,,,,,,,
150162990252289,610013,Network 7,Pilsen Elem Community Academy,6.5%,15.8%,30.4%,25.7%,29.5%,,,,,,,
150162990252175,610263,Network 9,Dulles Elem School,6.5%,27.5%,42.2%,21.2%,27.0%,,,,,,,
150162990252122,609839,Network 10,Carroll Elem School,6.5%,27.7%,36.8%,32.4%,32.8%,,,,,,,
15016299025276C,400151,Charter,LEARN Chtr - 7th Campus,6.5%,28.5%,32.1%,19.5%,20.4%,,,,,,,
150162990252153,609883,Network 12,Deneen Elem School,6.5%,34.0%,43.9%,37.6%,35.2%,,,,,,,
150162990252457,610176,Network 13,Shoop Math-Sci Tech Elem Academy,6.5%,35.8%,36.4%,30.1%,34.6%,,,,,,,
150162990252387,610108,Network 11,OToole Elem School,6.6%,39.9%,50.8%,49.0%,56.9%,,,,,,,
150162990252206,609924,Network 11,Fort Dearborn Elem School,6.7%,10.5%,41.4%,42.4%,43.7%,,,,,,,
15016299025240C,400167,Charter,Horizon Sci Academy - Southwest Charter,6.7%,13.8%,31.3%,29.9%,21.4%,,,,,,,
150162990252391,610111,ISP,Palmer Elem School,6.7%,14.1%,28.1%,33.1%,26.4%,,,,,,,
150162990250851,400022,Contract,Chicago HS for the Arts,6.7%,14.4%,11.5%,37.9%,19.0%,,,,,,,
150162990250027,609720,Network 14,Lane Technical High School,6.7%,15.6%,29.0%,31.9%,30.4%,,,,,,,
15016299025273C,400047,Charter,LEARN Chtr-Campbell Campus,6.8%,12.2%,46.6%,40.3%,29.8%,,,,,,,
150162990252334,610056,Network 7,Mason Elem School,6.8%,43.1%,51.5%,45.5%,48.0%,,,,,,,
150162990252490,610206,Network 10,Twain Elem School,6.9%,10.0%,29.5%,27.3%,27.0%,,,,,,,
150162990252422,610145,Network 1,Reinberg Elem School,6.9%,20.3%,38.2%,34.1%,34.4%,,,,,,,
150162990252970,610588,Network 10,Richardson Middle School,6.9%,20.5%,42.0%,33.8%,30.8%,,,,,,,
150162990252783,610024,ISP,Cardenas Elem School,6.9%,22.1%,44.7%,33.8%,31.9%,,,,,,,
150162990252346,610067,Network 10,McKay Elem School,6.9%,22.1%,46.7%,39.2%,50.0%,,,,,,,
150162990252838,610215,Network 7,Madero Middle School,6.9%,26.4%,33.0%,36.3%,43.6%,,,,,,,
150162990252706,610250,ISP,Salazar Elem Bilingual Center,6.9%,27.9%,50.0%,48.9%,49.0%,,,,,,,
150162990252179,610254,Network 7,Dvorak Technology Acad Elem Sch,6.9%,32.0%,56.5%,44.8%,55.2%,,,,,,,
150162990252392,610112,Network 11,Parker Elem Community Academy,6.9%,33.8%,53.5%,45.0%,57.0%,,,,,,,
150162990252068,609790,Network 11,Barton Elem School,6.9%,35.9%,56.4%,48.7%,43.0%,,,,,,,
150162990252281,610121,Network 6,Irving Elem School,6.9%,39.0%,55.0%,54.5%,58.5%,,,,,,,
150162990252459,610179,Network 1,Smyser Elem School,7.0%,14.6%,31.5%,34.0%,35.2%,,,,,,,
150162990252185,609903,Network 8,Edwards Elem School,7.0%,20.6%,42.0%,36.9%,31.8%,,,,,,,
15016299025281C,400075,Charter,Univ of Chicago Chtr-Donoghue,7.0%,24.8%,42.0%,35.1%,33.8%,,,,,,,
150162990250772,609753,ISP,Chicago HS for Agricult Sciences,7.0%,31.7%,33.5%,31.3%,33.5%,,,,,,,
150162990252290,610274,Network 5,Johnson STEAM Elementary,7.0%,41.3%,47.7%,37.7%,35.8%,,,,,,,
150162990252870,610317,Network 8,Brighton Park Elem School,7.0%,42.1%,45.4%,41.6%,39.1%,,,,,,,
150162990252198,609912,Network 1,Farnsworth Elem School,7.1%,10.1%,27.8%,27.2%,31.0%,,,,,,,
150162990252215,609938,Network 7,Gary Elem School,7.1%,14.0%,32.6%,29.2%,33.2%,,,,,,,
150162990252438,610159,Network 1,Scammon Elem School,7.1%,20.5%,41.7%,36.0%,36.1%,,,,,,,
150162990252331,610054,Network 13,Marsh Elem School,7.1%,28.2%,45.8%,34.1%,32.8%,,,,,,,
150162990252421,610144,Network 4,Reilly Elem School,7.2%,13.4%,29.5%,27.4%,27.3%,,,,,,,
150162990252966,610544,ISP,Azuela Elem School,7.2%,19.0%,39.9%,39.3%,42.1%,,,,,,,
150162990252247,609972,ISP,Haugan Elem School,7.2%,20.8%,29.1%,27.5%,35.9%,,,,,,,
150162990252597,610532,ISP,Hernandez Middle School,7.3%,17.9%,36.2%,27.0%,25.8%,,,,,,,
150162990252323,610046,Network 3,Lyon Elem School,7.3%,21.0%,40.9%,35.4%,34.9%,,,,,,,
15016299025049C,400121,Charter,Acero Chtr Sch Network- Sor Juana Ines de la Cruz K-12,7.3%,27.0%,38.3%,34.6%,33.6%,,,,,,,
150162990252446,610167,Network 8,Seward Elem Communication Arts Ac,7.3%,39.2%,44.2%,39.2%,38.6%,,,,,,,
150162990252252,609976,Network 2,Hayt Elem School,7.4%,15.9%,30.9%,31.6%,33.5%,,,,,,,
150162990252260,609988,Network 1,Henry Elem School,7.4%,17.9%,34.7%,29.9%,41.5%,,,,,,,
15016299025221C,400049,Charter,Legacy Elem Charter School,7.4%,20.2%,36.3%,29.2%,32.0%,,,,,,,
150162990252067,609789,Network 4,Barry Elem School,7.4%,22.3%,48.0%,37.9%,45.4%,,,,,,,
150162990252092,609808,Network 13,Haley Elem Academy,7.4%,32.8%,43.0%,33.1%,26.5%,,,,,,,
15016299025028C,400054,Charter,Noble St Chtr-Pritzker College Prep,7.4%,39.1%,39.5%,28.2%,24.5%,,,,,,,
150162990252063,609786,Network 12,Avalon Park Elem School,7.5%,34.8%,57.7%,47.2%,37.4%,,,,,,,
150162990252502,610218,Network 12,Warren Elem School,7.6%,17.5%,48.3%,34.3%,34.3%,,,,,,,
150162990252867,610125,Network 7,Ruiz Elem School,7.6%,17.6%,46.7%,41.7%,53.7%,,,,,,,
15016299025110C,400017,Charter,ASPIRA Charter - Haugan Campus,7.6%,23.8%,37.9%,37.0%,39.8%,,,,,,,
150162990252127,610251,Network 5,Cather Elem School,7.6%,41.7%,52.8%,42.8%,28.8%,,,,,,,
15016299025219C,400039,Charter,Erie Elem Charter School,7.6%,44.0%,42.6%,37.0%,44.7%,,,,,,,
150162990252896,609834,ISP,Little Village Elem School,7.7%,16.4%,41.3%,37.6%,30.9%,,,,,,,
150162990252898,609950,Network 7,Ortiz De Dominguez Elem School,7.7%,22.4%,37.2%,38.0%,45.3%,,,,,,,
150162990252311,610036,Network 3,Lewis Elem School,7.7%,26.3%,42.3%,43.7%,42.1%,,,,,,,
150162990252915,610051,Network 3,Northwest Middle School,7.7%,28.4%,45.2%,41.9%,46.6%,,,,,,,
15016299025013C,400105,Charter,Urban Prep Chtr Acad Bronzeville HS,7.7%,33.6%,24.8%,31.1%,27.9%,,,,,,,
150162990252507,610300,Network 11,Westcott Elem School,7.7%,33.9%,48.3%,41.3%,41.0%,,,,,,,
150162990252246,609971,Network 11,Harvard Elem School,7.7%,50.3%,51.3%,41.3%,39.7%,,,,,,,
150162990252381,610102,Network 11,Oglesby Elem School,7.8%,19.1%,48.8%,46.6%,47.8%,,,,,,,
150162990252080,609797,Network 5,Beidler Elem School,7.8%,36.8%,42.8%,40.8%,41.5%,,,,,,,
150162990252969,610586,Network 13,Sadlowski Elementary School,7.9%,21.7%,49.2%,50.3%,35.3%,,,,,,,
150162990252344,610269,Network 2,McCutcheon Elem School,7.9%,25.7%,40.7%,37.6%,37.2%,,,,,,,
150162990252913,610057,Network 10,Fairfield Elem Academy,7.9%,28.3%,47.5%,38.4%,41.4%,,,,,,,
150162990252058,609777,ISP,Armour Elem School,7.9%,30.2%,35.2%,28.5%,30.9%,,,,,,,
150162990252800,610246,Network 9,Beasley Elem Magnet Academic Ctr,7.9%,40.1%,40.0%,33.0%,31.1%,,,,,,,
150162990252191,609908,Network 10,Esmond Elem School,8.0%,26.8%,58.3%,45.4%,43.8%,,,,,,,
15016299025107C,400077,Charter,Univ of Chicago Chtr-Woodlawn,8.0%,44.3%,54.8%,44.3%,54.2%,,,,,,,
150162990252500,610216,Network 7,Walsh Elem School,8.1%,21.6%,37.4%,41.2%,65.5%,,,,,,,
150162990252455,610174,Network 8,Shields Elem School,8.1%,30.6%,51.8%,45.2%,43.8%,,,,,,,
150162990252365,610089,Network 1,Murphy Elem School,8.2%,19.6%,33.1%,31.5%,30.8%,,,,,,,
15016299025252C,400023,Charter,CICS - Avalon/South Shore,8.2%,23.8%,44.2%,35.3%,26.9%,,,,,,,
150162990252128,609851,Network 5,Chalmers STEAM Elementary,8.2%,25.3%,50.7%,11.7%,11.4%,,,,,,,
15016299025233C,400116,Charter,Montessori of Englewood Chtr ES,8.3%,41.0%,59.4%,41.7%,36.6%,,,,,,,
15016299025230C,400096,Charter,Rowe Elementary,8.4%,26.7%,44.4%,36.4%,36.7%,,,,,,,
150162990252414,610139,Network 13,Pullman Elem School,8.4%,35.2%,52.1%,41.0%,44.5%,,,,,,,
150162990252453,610172,Network 8,Sherman Elem School,8.4%,39.2%,64.1%,47.3%,41.2%,,,,,,,
150162990252419,610143,Network 9,Reavis Elem Math & Sci Spec Schl,8.4%,57.7%,59.3%,50.2%,50.6%,,,,,,,
150162990252133,609857,Network 1,Cleveland Elem School,8.5%,16.2%,30.1%,34.4%,37.3%,,,,,,,
150162990252158,609884,Network 1,Dever Elem School,8.5%,19.0%,30.6%,32.3%,35.1%,,,,,,,
150162990252145,609870,ISP,Corkery Elem School,8.5%,22.7%,45.9%,54.7%,53.1%,,,,,,,
150162990252768,609978,Network 13,Smith  W Elem School,8.5%,40.1%,54.4%,16.3%,17.8%,,,,,,,
150162990252309,610034,Network 5,Lawndale Elem Community Academy,8.5%,61.4%,56.1%,48.4%,50.0%,,,,,,,
150162990252456,610175,Network 9,Shoesmith Elem School,8.6%,27.3%,45.6%,42.0%,56.6%,,,,,,,
150162990252454,610173,ISP,Sherwood Elem School,8.6%,30.6%,44.5%,30.9%,31.2%,,,,,,,
150162990252313,610037,Network 8,Libby Elem School,8.6%,38.8%,56.3%,48.7%,52.3%,,,,,,,
150162990252257,609985,Network 5,Hefferan Elem School,8.6%,41.7%,61.4%,51.6%,53.6%,,,,,,,
150162990252321,610044,Network 5,Lowell Elem School,8.7%,22.4%,46.5%,40.7%,43.7%,,,,,,,
150162990252767,610133,Network 5,Ward  L Elem School,8.7%,48.5%,48.9%,56.0%,42.4%,,,,,,,
15016299025044C,400179,Charter,Noble St Chtr - Mansueto,8.7%,49.5%,43.3%,34.0%,35.1%,,,,,,,
150162990252354,610276,Network 9,Mollison Elem School,8.8%,48.9%,59.9%,56.1%,51.0%,,,,,,,
150162990252498,610213,Network 9,Wadsworth Elem School,8.9%,22.1%,51.9%,49.2%,46.1%,,,,,,,
150162990250796,609680,Network 15,Payton College Preparatory HS,8.9%,24.4%,29.8%,25.3%,25.1%,,,,,,,
150162990252837,610239,Network 8,Daley Elem Academy,8.9%,39.8%,45.5%,29.0%,36.8%,,,,,,,
150162990250820,610340,Network 14,Chicago Academy High School,9.0%,15.4%,31.6%,32.5%,40.1%,,,,,,,
150162990250779,609694,Network 15,Hancock College Preparatory HS,9.0%,18.6%,26.0%,25.5%,31.1%,,,,,,,
150162990252363,610088,Network 4,Mozart Elem School,9.0%,20.4%,33.3%,45.1%,47.2%,,,,,,,
150162990252132,609856,Network 13,Clay Elem School,9.0%,27.5%,46.6%,37.7%,38.2%,,,,,,,
150162990252266,610295,Network 13,Higgins Elem Community Academy,9.0%,37.5%,60.4%,43.0%,47.9%,,,,,,,
150162990252195,610055,Network 5,Faraday Elem School,9.0%,43.9%,55.9%,54.6%,43.8%,,,,,,,
150162990252317,610041,Network 3,Locke  J Elem School,9.1%,24.3%,46.2%,40.2%,31.8%,,,,,,,
150162990252181,609898,Network 10,Eberhart Elem School,9.1%,27.9%,44.9%,42.5%,49.3%,,,,,,,
150162990252173,610364,Network 13,Dubois Elem School,9.1%,33.0%,58.1%,35.0%,27.3%,,,,,,,
150162990252362,610086,Network 13,Mount Vernon Elem School,9.1%,39.8%,54.0%,39.7%,42.4%,,,,,,,
15016299025244C,400178,Charter,Moving Everest Charter School,9.1%,49.5%,47.2%,41.7%,44.7%,,,,,,,
150162990252386,610107,Network 6,Otis Elem School,9.2%,26.7%,49.8%,50.7%,47.7%,,,,,,,
15016299025248C,400028,Charter,CICS - Prairie Campus,9.2%,28.9%,51.5%,40.8%,41.7%,,,,,,,
150162990252256,609983,Network 8,Hedges Elem School,9.2%,29.6%,44.6%,31.4%,29.0%,,,,,,,
150162990252401,610124,Network 12,Washington  H Elem School,9.2%,46.1%,38.3%,36.8%,39.8%,,,,,,,
15016299025274C,400107,Charter,LEARN Chtr - South Chicago Campus,9.2%,53.6%,32.0%,40.0%,31.8%,,,,,,,
150162990252436,610158,Network 3,Sayre Elem Language Academy,9.3%,16.1%,40.3%,41.3%,36.2%,,,,,,,
150162990252380,610101,Network 15,Ogden Elem School,9.3%,24.5%,40.7%,41.5%,49.2%,,,,,,,
15016299025214C,400060,Charter,Asian Human Services -Passage Chrtr,9.4%,11.0%,45.1%,44.4%,51.6%,,,,,,,
150162990252428,610152,Network 12,Ruggles Elem School,9.4%,26.1%,46.2%,46.5%,39.4%,,,,,,,
150162990252877,609968,Network 4,McAuliffe Elem School,9.4%,29.1%,45.5%,43.2%,38.8%,,,,,,,
150162990252083,609800,Network 13,Bennett Elem School,9.4%,29.8%,47.4%,35.5%,36.0%,,,,,,,
150162990252472,610192,Network 5,Stowe Elem School,9.4%,30.1%,43.5%,35.8%,41.0%,,,,,,,
150162990252960,610530,Network 12,South Shore Fine Arts Elem Sch,9.4%,35.1%,46.9%,38.8%,31.4%,,,,,,,
150162990252288,610271,Network 5,Jensen Elem Scholastic Academy,9.4%,39.0%,64.9%,24.9%,20.1%,,,,,,,
150162990252766,610065,Network 9,Till Elem Math & Science Academy,9.4%,66.3%,71.5%,55.9%,55.9%,,,,,,,
15016299025042C,400169,Charter,Noble St Chtr-ITW Speer Acad,9.5%,58.8%,48.4%,29.0%,34.2%,,,,,,,
150162990252052,609773,Network 4,Harriet Tubman Elem School,9.6%,10.0%,31.3%,22.6%,42.5%,,,,,,,
150162990252775,609805,Network 11,Joplin Elem School,9.6%,23.6%,46.2%,44.5%,44.6%,,,,,,,
150162990252357,610077,Network 10,Morrill Elem Math & Sci School,9.6%,30.5%,57.3%,39.8%,40.5%,,,,,,,
150162990252190,609907,Network 5,Ericson Elem Scholastic Academy,9.6%,33.0%,48.7%,34.4%,32.4%,,,,,,,
150162990252259,609987,Network 9,Hendricks Elem Community Academy,9.6%,53.0%,56.5%,50.6%,59.9%,,,,,,,
150162990252100,609815,Network 12,Bouchet Elem Math & Science Acad,9.7%,12.5%,57.2%,52.3%,52.5%,,,,,,,
150162990252895,609951,Network 9,Ariel Elem Community Academy,9.7%,23.2%,48.9%,46.5%,47.7%,,,,,,,
150162990252096,609811,Network 13,Bright Elem School,9.7%,34.3%,64.0%,59.8%,31.8%,,,,,,,
150162990252169,609894,Network 9,Drake Elem School,9.7%,39.8%,54.1%,47.3%,44.2%,,,,,,,
150162990252222,609943,Network 13,Owens Community Academy ES,9.7%,48.1%,53.6%,40.4%,38.8%,,,,,,,
15016299025035C,400098,Charter,Noble St Chtr-Muchin College Prep,9.7%,60.9%,59.7%,39.5%,41.8%,,,,,,,
150162990252889,609865,Network 2,Jordan Elem Community School,9.8%,22.4%,32.3%,38.0%,32.0%,,,,,,,
150162990252105,609821,Network 13,Burnham Elem Inclusive Academy,9.8%,35.0%,42.4%,43.1%,44.3%,,,,,,,
150162990252139,609864,Network 11,Cook Elem School,9.8%,41.7%,50.4%,30.4%,38.4%,,,,,,,
15016299025232C,400115,Charter,Catalyst Charter - Maria ES,9.9%,15.1%,41.5%,30.5%,25.7%,,,,,,,
15016299025224C,400071,Charter,Providence-Englewood Elem Charter,9.9%,20.3%,51.8%,38.3%,39.5%,,,,,,,
15016299025277C,400024,Charter,CICS - Basil Campus,9.9%,41.9%,46.8%,40.0%,41.8%,,,,,,,
15016299025247C,400033,Charter,CICS - Longwood Campus,9.9%,47.8%,69.6%,44.0%,57.3%,,,,,,,
150162990252460,610180,Network 6,Smyth  J Elem School,9.9%,56.5%,48.6%,46.0%,50.9%,,,,,,,
150162990250046,609737,Network 14,Von Steuben Metro Science HS,10.1%,31.9%,43.7%,39.3%,42.1%,,,,,,,
150162990252187,609904,Network 3,Ellington Elem School,10.1%,41.6%,59.3%,51.9%,52.4%,,,,,,,
150162990252375,610098,ISP,Nobel Elem School,10.2%,17.1%,46.4%,33.8%,35.6%,,,,,,,
150162990252937,609891,Network 9,James R Doolittle Academy,10.2%,33.5%,49.0%,38.1%,45.7%,,,,,,,
150162990252921,610355,Network 2,Courtenay Elem Language Arts Ctr,10.2%,34.2%,46.9%,49.8%,53.3%,,,,,,,
150162990252270,609997,Network 8,Holmes Elem School,10.3%,22.7%,40.2%,54.0%,67.4%,,,,,,,
150162990252400,610123,Network 7,Penn Elem School,10.3%,28.5%,51.6%,47.3%,44.8%,,,,,,,
150162990252394,610115,Network 12,Park Manor Elem School,10.3%,29.2%,37.5%,19.7%,44.9%,,,,,,,
150162990252807,609941,Network 11,Randolph Elem School,10.3%,39.1%,43.8%,34.3%,37.1%,,,,,,,
150162990252901,609921,Network 7,Telpochcalli Elem School,10.4%,21.2%,40.2%,42.7%,55.0%,,,,,,,
150162990252902,610110,Network 9,Wells Preparatory Elem Academy,10.4%,40.9%,42.8%,35.0%,36.1%,,,,,,,
150162990252118,609835,Network 5,Cameron Elem School,10.5%,24.4%,36.7%,23.0%,18.4%,,,,,,,
150162990252385,610106,Network 5,Piccolo Elem Specialty School,10.6%,25.4%,53.3%,40.4%,35.9%,,,,,,,
150162990252258,609986,Network 8,Henderson Elem School,10.6%,41.6%,51.4%,41.6%,41.4%,,,,,,,
